"source_order","status","action","old_category","title","target_directory","candidate_slug","sidebar_position","wp_post_name","markdown_output","notes"
"21","publish","migrate","Payment收单常见问题","什么是拒付/伪冒/调单订单？该如何处理？","docs/payment-faq/common-questions","chargeback-fraud-retrieval-orders","17","%e4%bb%80%e4%b9%88%e6%98%af%e6%8b%92%e4%bb%98-%e8%b0%83%e5%8d%95-%e4%bc%aa%e5%86%92%e8%ae%a2%e5%8d%95%ef%bc%9f%e8%af%a5%e5%a6%82%e4%bd%95%e5%a4%84%e7%90%86%ef%bc%9f","migration/output/zh/custom/lsvr_kba/什么是拒付-调单-伪冒订单？该如何处理？/index.md",""
"22","publish","migrate","客户服务常见问题","Oceanpayment投诉与建议的联系方式？","docs/customer-service/customer-service-faq","oceanpayment-complaints-and-suggestions-contact","1","oceanpayment%e6%8a%95%e8%af%89%e4%b8%8e%e5%bb%ba%e8%ae%ae%e7%9a%84%e8%81%94%e7%b3%bb%e6%96%b9%e5%bc%8f%ef%bc%9f","migration/output/zh/custom/lsvr_kba/oceanpayment投诉与建议的联系方式？/index.md",""
"23","publish","review","","如何降低欺诈交易拒付的发生","","","","%e5%a6%82%e4%bd%95%e9%99%8d%e4%bd%8e%e6%ac%ba%e8%af%88%e4%ba%a4%e6%98%93%e6%8b%92%e4%bb%98%e7%9a%84%e5%8f%91%e7%94%9f","migration/output/zh/custom/lsvr_kba/如何降低欺诈交易拒付的发生/index.md","unmapped category"
"24","publish","migrate","Payment收单常见问题","为什么会收到高风险订单警报邮件？如何处理？","docs/payment-faq/common-questions","high-risk-order-alert-email","18","%e4%b8%ba%e4%bb%80%e4%b9%88%e4%bc%9a%e6%94%b6%e5%88%b0%e9%ab%98%e9%a3%8e%e9%99%a9%e8%ae%a2%e5%8d%95%e8%ad%a6%e6%8a%a5%e9%82%ae%e4%bb%b6","migration/output/zh/custom/lsvr_kba/为什么会收到高风险订单警报邮件/index.md",""
"25","publish","migrate","Payment收单常见问题","英国对 Klarna 广告的监管要求","docs/payment-faq/common-questions","uk-klarna-advertising-requirements","16","%e8%8b%b1%e5%9b%bd%e5%af%b9-klarna-%e5%b9%bf%e5%91%8a%e7%9a%84%e7%9b%91%e7%ae%a1%e8%a6%81%e6%b1%82","migration/output/zh/custom/lsvr_kba/英国对-klarna-广告的监管要求/index.md",""
"26","publish","migrate","Payment收单常见问题","Klarna争议改善指南","docs/payment-faq/common-questions","klarna-dispute-improvement-guide","15","klarna%e4%ba%89%e8%ae%ae%e6%94%b9%e5%96%84%e6%8c%87%e5%8d%97","migration/output/zh/custom/lsvr_kba/klarna争议改善指南/index.md",""
"27","publish","migrate","Payment收单常见问题","Klarna挪威市场更新","docs/payment-faq/common-questions","klarna-norway-market-update","14","klarna%e6%8c%aa%e5%a8%81%e5%b8%82%e5%9c%ba%e6%9b%b4%e6%96%b0","migration/output/zh/custom/lsvr_kba/klarna挪威市场更新/index.md",""
"28","publish","migrate","Payment收单信息更新专区","Visa拒付管控政策（VAMP）","docs/payment-faq/info-update","visa-vamp-policy","7","visa%e6%8b%92%e4%bb%98%e8%80%83%e6%a0%b8%e6%a0%87%e5%87%86%e6%9b%b4%e6%96%b0-vamp%e5%a2%9e%e5%bc%ba%e5%8f%8avdmp%e5%92%8cvfmp%e9%80%80%e5%87%ba","migration/output/zh/custom/lsvr_kba/visa拒付考核标准更新-vamp增强及vdmp和vfmp退出/index.md",""
"29","publish","migrate","Payment收单常见问题","iDEAL商户运营端注意事项","docs/payment-faq/common-questions","ideal-merchant-operation-notes","13","ideal%e5%95%86%e6%88%b7%e8%bf%90%e8%90%a5%e7%ab%af%e6%b3%a8%e6%84%8f%e4%ba%8b%e9%a1%b9","migration/output/zh/custom/lsvr_kba/ideal商户运营端注意事项/index.md",""
"30","publish","migrate","Payment收单常见问题","Afterpay针对Shopify网站的支付插件安装介绍","docs/payment-faq/common-questions","afterpay-shopify-plugin-installation","12","afterpay%e9%92%88%e5%af%b9shopify%e7%bd%91%e7%ab%99%e7%9a%84%e6%94%af%e4%bb%98%e6%8f%92%e4%bb%b6%e5%ae%89%e8%a3%85%e4%bb%8b%e7%bb%8d","migration/output/zh/custom/lsvr_kba/afterpay针对shopify网站的支付插件安装介绍/index.md",""
"31","publish","migrate","Payment收单信息更新专区","日本发布《信用卡安全指南5.0》新规定","docs/payment-faq/info-update","japan-credit-card-security-guidelines-5","6","%e6%97%a5%e6%9c%ac%e5%8f%91%e5%b8%83%e3%80%8a%e4%bf%a1%e7%94%a8%e5%8d%a1%e5%ae%89%e5%85%a8%e6%8c%87%e5%8d%975-0%e3%80%8b%e6%96%b0%e8%a7%84%e5%ae%9a","migration/output/zh/custom/lsvr_kba/日本发布《信用卡安全指南5-0》新规定/index.md",""
"32","publish","migrate","OP Card常见问题","Oceanpayment Card价格","docs/op-card-faq/common-questions","oceanpayment-card-pricing","58","oceanpayment-card%e4%bb%b7%e6%a0%bc","migration/output/zh/custom/lsvr_kba/oceanpayment-card价格/index.md",""
"33","publish","migrate","企业认证常见问题1","企业认证资料说明","docs/compliance-certification/enterprise-certification-faq","enterprise-certification-materials","1","%e4%bc%81%e4%b8%9a%e8%ae%a4%e8%af%81%e8%b5%84%e6%96%99%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/企业认证资料说明/index.md",""
"34","publish","migrate","OP Card常见问题","OP Card业务申请资料说明","docs/op-card-faq/common-questions","op-card-application-materials","57","op-card%e4%b8%9a%e5%8a%a1%e7%94%b3%e8%af%b7%e8%b5%84%e6%96%99%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/op-card业务申请资料说明/index.md",""
"35","publish","migrate","Payment收单常见问题","Klarna消费者端账单展示","docs/payment-faq/common-questions","klarna-consumer-bill-sample","11","klarna%e6%b6%88%e8%b4%b9%e8%80%85%e7%ab%af%e8%b4%a6%e5%8d%95%e5%b1%95%e7%a4%ba","migration/output/zh/custom/lsvr_kba/klarna消费者端账单展示/index.md",""
"36","publish","migrate","Oceanpayment产品与服务","Oceanpayment Recurring知识介绍","docs/products-services/oceanpayment-products","oceanpayment-recurring-introduction","1","oceanpayment-recurring%e7%9f%a5%e8%af%86%e4%bb%8b%e7%bb%8d","migration/output/zh/custom/lsvr_kba/oceanpayment-recurring知识介绍/index.md",""
"37","publish","migrate","Payment收单信息更新专区","Mastercard 拒付考核标准","docs/payment-faq/info-update","mastercard-chargeback-assessment-criteria","5","mastercard-%e6%8b%92%e4%bb%98%e8%80%83%e6%a0%b8%e6%a0%87%e5%87%86","migration/output/zh/custom/lsvr_kba/mastercard-拒付考核标准/index.md",""
"38","publish","migrate","Payment收单信息更新专区","Mastercard 拒付原因更新","docs/payment-faq/info-update","mastercard-chargeback-reason-update","4","mastercard-%e6%8b%92%e4%bb%98%e5%8e%9f%e5%9b%a0%e6%9b%b4%e6%96%b0","migration/output/zh/custom/lsvr_kba/mastercard-拒付原因更新/index.md",""
"39","publish","migrate","OP Card常见问题","OP Card禁入行业清单","docs/op-card-faq/common-questions","op-card-prohibited-industries","56","op-card%e7%a6%81%e5%85%a5%e8%a1%8c%e4%b8%9a%e6%b8%85%e5%8d%95","migration/output/zh/custom/lsvr_kba/op-card禁入行业清单/index.md",""
"40","publish","migrate","OP Card常见问题","OPCard操作教程","docs/op-card-faq/common-questions","opcard-operation-guide","55","opcard%e6%93%8d%e4%bd%9c%e6%95%99%e7%a8%8b","migration/output/zh/custom/lsvr_kba/opcard操作教程/index.md",""
"41","publish","skip","ODPM后台板块操作指引","网站新增接入教程","docs/odpm-guide/section-guide","odpm-guide-section-guide-001","","%e7%bd%91%e7%ab%99%e6%96%b0%e5%a2%9e%e6%8e%a5%e5%85%a5%e6%95%99%e7%a8%8b","migration/output/zh/custom/lsvr_kba/网站新增接入教程/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"42","publish","review","","伪冒处理说明","","","","%e4%bc%aa%e5%86%92%e5%a4%84%e7%90%86%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/伪冒处理说明/index.md","unmapped category"
"43","publish","review","","调单处理说明","","","","%e8%b0%83%e5%8d%95%e5%a4%84%e7%90%86%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/调单处理说明/index.md","unmapped category"
"44","publish","review","","拒付处理说明","","","","%e6%8b%92%e4%bb%98%e5%a4%84%e7%90%86%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/拒付处理说明/index.md","unmapped category"
"45","publish","skip","ODPM后台板块操作指引","退款操作说明","docs/odpm-guide/section-guide","odpm-guide-section-guide-002","","%e9%80%80%e6%ac%be%e6%93%8d%e4%bd%9c%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/退款操作说明/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"46","publish","skip","ODPM后台板块操作指引","财务对账说明","docs/odpm-guide/section-guide","odpm-guide-section-guide-003","","%e8%b4%a2%e5%8a%a1%e5%af%b9%e8%b4%a6%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/财务对账说明/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"47","publish","skip","ODPM后台板块操作指引","常见交易返回码及物流上传说明","docs/odpm-guide/section-guide","odpm-guide-section-guide-004","","%e5%b8%b8%e8%a7%81%e4%ba%a4%e6%98%93%e8%bf%94%e5%9b%9e%e7%a0%81%e5%8f%8a%e7%89%a9%e6%b5%81%e4%b8%8a%e4%bc%a0%e8%af%b4%e6%98%8e","migration/output/zh/custom/lsvr_kba/常见交易返回码及物流上传说明/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"48","publish","skip","ODPM后台板块操作指引","高欺诈警报、黑名单、白名单风控教程","docs/odpm-guide/section-guide","odpm-guide-section-guide-005","","%e9%ab%98%e6%ac%ba%e8%af%88%e8%ad%a6%e6%8a%a5%e3%80%81%e9%bb%91%e5%90%8d%e5%8d%95%e3%80%81%e7%99%bd%e5%90%8d%e5%8d%95%e9%a3%8e%e6%8e%a7%e6%95%99%e7%a8%8b","migration/output/zh/custom/lsvr_kba/高欺诈警报、黑名单、白名单风控教程/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"49","publish","skip","ODPM后台板块操作指引","ODPM账户后台操作手册","docs/odpm-guide/section-guide","odpm","","odpm%e8%b4%a6%e6%88%b7%e5%90%8e%e5%8f%b0%e6%93%8d%e4%bd%9c%e6%89%8b%e5%86%8c","migration/output/zh/custom/lsvr_kba/odpm账户后台操作手册/index.md","ODPM content already migrated; sidebar position pending screenshot/order review"
"50","publish","migrate","OP Card常见问题","如果我的多张卡片上都发生了欺诈怎么办？","docs/op-card-faq/common-questions","fraud-on-multiple-cards","54","%e5%a6%82%e6%9e%9c%e6%88%91%e7%9a%84%e5%a4%9a%e5%bc%a0%e5%8d%a1%e7%89%87%e4%b8%8a%e9%83%bd%e5%8f%91%e7%94%9f%e4%ba%86%e6%ac%ba%e8%af%88%e6%80%8e%e4%b9%88%e5%8a%9e%ef%bc%9f","migration/output/zh/custom/lsvr_kba/如果我的多张卡片上都发生了欺诈怎么办？/index.md",""
"51","publish","migrate","OP Card常见问题","如何保护自己免遭诈骗和卡片欺诈","docs/op-card-faq/common-questions","protect-against-card-fraud","53","%e5%a6%82%e4%bd%95%e4%bf%9d%e6%8a%a4%e8%87%aa%e5%b7%b1%e5%85%8d%e9%81%ad%e8%af%88%e9%aa%97%e5%92%8c%e5%8d%a1%e7%89%87%e6%ac%ba%e8%af%88","migration/output/zh/custom/lsvr_kba/如何保护自己免遭诈骗和卡片欺诈/index.md",""
"52","publish","migrate","OP Card常见问题","为什么卡片被冻结/取消后，交易仍然成功了？","docs/op-card-faq/common-questions","transaction-success-after-card-freeze-or-cancel","52","%e4%b8%ba%e4%bb%80%e4%b9%88%e5%8d%a1%e7%89%87%e8%a2%ab%e5%86%bb%e7%bb%93-%e5%8f%96%e6%b6%88%e5%90%8e%ef%bc%8c%e4%ba%a4%e6%98%93%e4%bb%8d%e7%84%b6%e6%88%90%e5%8a%9f%e4%ba%86%ef%bc%9f","migration/output/zh/custom/lsvr_kba/为什么卡片被冻结-取消后，交易仍然成功了？/index.md",""
"53","publish","migrate","OPCard 支持Google Pay FAQ","如何暂停或注销我的卡片？","docs/op-card-faq/google-pay-faq","suspend-or-cancel-card","11","%e5%a6%82%e4%bd%95%e5%86%bb%e7%bb%93%e6%88%96%e5%8f%96%e6%b6%88%e6%88%91%e7%9a%84%e5%8d%a1%e7%89%87","migration/output/zh/custom/lsvr_kba/如何冻结或取消我的卡片/index.md","target overridden by screenshot"
"54","publish","migrate","OPCard 支持Google Pay FAQ","手机丢失或被盗后该怎么办？","docs/op-card-faq/google-pay-faq","lost-or-stolen-phone-google-pay","10","%e6%89%8b%e6%9c%ba%e4%b8%a2%e5%a4%b1%e6%88%96%e8%a2%ab%e7%9b%97%e5%90%8e%e8%af%a5%e6%80%8e%e4%b9%88%e5%8a%9e%ef%bc%9f%ef%bc%88apple-pay-google-pay%ef%bc%89","migration/output/zh/custom/lsvr_kba/手机丢失或被盗后该怎么办？（apple-pay-google-pay）/index.md","target overridden by screenshot"
"55","publish","migrate","OP Card常见问题","什么是已撤销的卡交易？","docs/op-card-faq/common-questions","reversed-card-transaction","51","%e5%ae%9e%e9%99%85%e6%89%a3%e6%ac%be%e9%87%91%e9%a2%9d%e4%b8%8e%e5%a4%84%e7%90%86%e4%b8%ad%e9%87%91%e9%a2%9d%e6%9c%89%e5%8f%af%e8%83%bd%e4%bc%9a%e4%b8%8d%e5%90%8c%e5%90%97%ef%bc%9f","migration/output/zh/custom/lsvr_kba/实际扣款金额与处理中金额有可能会不同吗？/index.md",""
"56","publish","migrate","OP Card常见问题","交易会保持处理中多久？","docs/op-card-faq/common-questions","processing-card-transaction-duration","50","%e4%ba%a4%e6%98%93%e4%bc%9a%e4%bf%9d%e6%8c%81%e5%a4%84%e7%90%86%e4%b8%ad%e5%a4%9a%e4%b9%85%ef%bc%9f","migration/output/zh/custom/lsvr_kba/交易会保持处理中多久？/index.md",""
"57","publish","migrate","OP Card常见问题","什么是处理中的卡交易？","docs/op-card-faq/common-questions","processing-card-transaction","49","%e4%bb%80%e4%b9%88%e6%98%af%e5%a4%84%e7%90%86%e4%b8%ad%e7%9a%84%e5%8d%a1%e4%ba%a4%e6%98%93%ef%bc%9f","migration/output/zh/custom/lsvr_kba/什么是处理中的卡交易？/index.md",""
"58","publish","migrate","OP Card常见问题","可以为每张企业卡指定几位卡片联系人？","docs/op-card-faq/common-questions","company-card-contact-limit","48","%e5%8f%af%e4%bb%a5%e4%b8%ba%e6%af%8f%e5%bc%a0%e4%bc%81%e4%b8%9a%e5%8d%a1%e6%8c%87%e5%ae%9a%e5%87%a0%e4%bd%8d%e5%8d%a1%e7%89%87%e8%81%94%e7%b3%bb%e4%ba%ba%ef%bc%9f","migration/output/zh/custom/lsvr_kba/可以为每张企业卡指定几位卡片联系人？/index.md",""
"59","publish","migrate","OP Card常见问题","可以指定谁作为企业卡卡片联系人？","docs/op-card-faq/common-questions","who-can-be-company-card-contact","47","%e5%8f%af%e4%bb%a5%e6%8c%87%e5%ae%9a%e8%b0%81%e4%bd%9c%e4%b8%ba%e4%bc%81%e4%b8%9a%e5%8d%a1%e5%8d%a1%e7%89%87%e8%81%94%e7%b3%bb%e4%ba%ba%ef%bc%9f","migration/output/zh/custom/lsvr_kba/可以指定谁作为企业卡卡片联系人？/index.md",""
"60","publish","migrate","OP Card常见问题","谁可以指定企业卡卡片联系人？","docs/op-card-faq/common-questions","who-can-assign-company-card-contact","46","%e8%b0%81%e5%8f%af%e4%bb%a5%e6%8c%87%e5%ae%9a%e4%bc%81%e4%b8%9a%e5%8d%a1%e5%8d%a1%e7%89%87%e8%81%94%e7%b3%bb%e4%ba%ba%ef%bc%9f","migration/output/zh/custom/lsvr_kba/谁可以指定企业卡卡片联系人？/index.md",""
"61","publish","migrate","OP Card常见问题","卡片联系人可以做什么？","docs/op-card-faq/common-questions","card-contact-permissions","45","%e5%8d%a1%e7%89%87%e8%81%94%e7%b3%bb%e4%ba%ba%e5%8f%af%e4%bb%a5%e5%81%9a%e4%bb%80%e4%b9%88%ef%bc%9f","migration/output/zh/custom/lsvr_kba/卡片联系人可以做什么？/index.md",""
"62","publish","migrate","OP Card常见问题","谁会默认成为企业卡卡片联系人？","docs/op-card-faq/common-questions","default-company-card-contact","44","%e8%b0%81%e4%bc%9a%e9%bb%98%e8%ae%a4%e6%88%90%e4%b8%ba%e4%bc%81%e4%b8%9a%e5%8d%a1%e5%8d%a1%e7%89%87%e8%81%94%e7%b3%bb%e4%ba%ba%ef%bc%9f","migration/output/zh/custom/lsvr_kba/谁会默认成为企业卡卡片联系人？/index.md",""
"63","publish","migrate","OP Card常见问题","什么是企业卡卡片联系人？","docs/op-card-faq/common-questions","company-card-contact","43","%e4%bb%80%e4%b9%88%e6%98%af%e4%bc%81%e4%b8%9a%e5%8d%a1%e5%8d%a1%e7%89%87%e8%81%94%e7%b3%bb%e4%ba%ba%ef%bc%9f","migration/output/zh/custom/lsvr_kba/什么是企业卡卡片联系人？/index.md",""
"64","publish","migrate","OP Card常见问题","如何创建企业卡？","docs/op-card-faq/common-questions","create-company-card","42","%e5%a6%82%e4%bd%95%e5%88%9b%e5%bb%ba%e4%bc%81%e4%b8%9a%e5%8d%a1%ef%bc%9f","migration/output/zh/custom/lsvr_kba/如何创建企业卡？/index.md",""
"65","publish","migrate","OP Card常见问题","如何查看我被收取的所有费用？","docs/op-card-faq/common-questions","view-all-fees","41","%e5%a6%82%e4%bd%95%e6%9f%a5%e7%9c%8b%e6%88%91%e8%a2%ab%e6%94%b6%e5%8f%96%e7%9a%84%e6%89%80%e6%9c%89%e8%b4%b9%e7%94%a8%ef%bc%9f","migration/output/zh/custom/lsvr_kba/如何查看我被收取的所有费用？/index.md",""
"66","publish","migrate","OP Card常见问题","我的费用结算时间是什么时候？","docs/op-card-faq/common-questions","fee-settlement-time","40","%e6%88%91%e7%9a%84%e8%b4%b9%e7%94%a8%e7%bb%93%e7%ae%97%e6%97%b6%e9%97%b4%e6%98%af%e4%bb%80%e4%b9%88%e6%97%b6%e5%80%99%ef%bc%9f","migration/output/zh/custom/lsvr_kba/我的费用结算时间是什么时候？/index.md",""
"67","publish","migrate","OP Card常见问题","发卡账户增额的限制","docs/op-card-faq/common-questions","card-account-limit-increase-restrictions","39","%e5%8f%91%e5%8d%a1%e8%b4%a6%e6%88%b7%e5%a2%9e%e9%a2%9d%e7%9a%84%e9%99%90%e5%88%b6","migration/output/zh/custom/lsvr_kba/发卡账户增额的限制/index.md",""
"68","publish","migrate","OP Card常见问题","发卡账户一天可以提额几次","docs/op-card-faq/common-questions","card-account-daily-limit-increase-times","38","%e5%8f%91%e5%8d%a1%e8%b4%a6%e6%88%b7%e4%b8%80%e5%a4%a9%e5%8f%af%e4%bb%a5%e6%8f%90%e9%a2%9d%e5%87%a0%e6%ac%a1","migration/output/zh/custom/lsvr_kba/发卡账户一天可以提额几次/index.md",""
