source_order,old_category,old_category_order,title,action,target_directory,target_slug,sidebar_position,source_slug,markdown_output,target_path,source_found,notes
11,Credit Card Acquiring FAQs,8,Mastercard Chargeback Assessment Criteria,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update,mastercard-chargeback-assessment-criteria,1,mastercard-chargeback-assessment-criteria,migration/output/en/custom/lsvr_kba/mastercard-chargeback-assessment-criteria/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/mastercard-chargeback-assessment-criteria/index.mdx,yes,Rule update; place in info update section.
12,Credit Card Acquiring FAQs,9,Why do I get high-risk order alert emails? How do I handle it?,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,high-risk-order-alert-email,6,why-do-i-get-high-risk-order-alert-emails-how-do-i-handle-it,migration/output/en/custom/lsvr_kba/why-do-i-get-high-risk-order-alert-emails-how-do-i-handle-it/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/high-risk-order-alert-email/index.mdx,yes,Matches migrated Chinese payment FAQ.
13,Credit Card Acquiring FAQs,10,What is a Chargeback/Retrieval/Fraud order? How should it be handled?,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,chargeback-fraud-retrieval-orders,7,what-is-a-chargeback-retrieval-fraud-order-how-should-it-be-handled,migration/output/en/custom/lsvr_kba/what-is-a-chargeback-retrieval-fraud-order-how-should-it-be-handled/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/chargeback-fraud-retrieval-orders/index.mdx,yes,Matches migrated Chinese payment FAQ.
14,Credit Card Acquiring FAQs,11,Update on Mastercard Chargeback Reasons,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update,mastercard-chargeback-reason-update,2,update-on-mastercard-chargeback-reasons,migration/output/en/custom/lsvr_kba/update-on-mastercard-chargeback-reasons/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/mastercard-chargeback-reason-update/index.mdx,yes,Rule update; place in info update section.
15,Credit Card Acquiring FAQs,12,Recurring Payment Introduction,migrate,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products,oceanpayment-recurring-introduction,1,recurring-payment-introduction,migration/output/en/custom/lsvr_kba/recurring-payment-introduction/index.md,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/oceanpayment-recurring-introduction/index.mdx,yes,Product/service introduction.
16,Credit Card Acquiring FAQs,13,Implementation of Japan Credit Card Security Guidelines,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update,japan-credit-card-security-guidelines-5,3,implementation-of-japan-credit-card-security-guidelines,migration/output/en/custom/lsvr_kba/implementation-of-japan-credit-card-security-guidelines/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/japan-credit-card-security-guidelines-5/index.mdx,yes,Rule update; place in info update section.
17,Credit Card Acquiring FAQs,14,Visa’s monitoring programs updated-VAMP Enhancements and Retirement of VDMP and VFMP,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update,visa-vamp-policy,4,visas-monitoring-programs-updated-vamp-enhancements-and-retirement-of-vdmp-and-vfmp,migration/output/en/custom/lsvr_kba/visas-monitoring-programs-updated-vamp-enhancements-and-retirement-of-vdmp-and-vfmp/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/info-update/visa-vamp-policy/index.mdx,yes,Rule update; maps to the migrated Chinese VAMP policy page.
18,Funding Operation FAQs,1,Merchant Final Settlement at Oceanpayment,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,merchant-fund-settlement-at-oceanpayment,8,merchant-final-settlement-at-oceanpayment,migration/output/en/custom/lsvr_kba/merchant-final-settlement-at-oceanpayment/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/merchant-fund-settlement-at-oceanpayment/index.mdx,yes,Matches migrated Chinese payment FAQ.
19,Funding Operation FAQs,2,Understanding Currency Conversion in Your Payment and Settlement Process,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,currency-conversion-in-transaction-settlement,9,understanding-currency-conversion-in-your-payment-and-settlement-process,migration/output/en/custom/lsvr_kba/understanding-currency-conversion-in-your-payment-and-settlement-process/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/currency-conversion-in-transaction-settlement/index.mdx,yes,Matches migrated Chinese payment FAQ.
20,Funding Operation FAQs,3,How do I keep track of my account funds and reconcile them?,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer,account-funds-and-reconciliation,1,how-do-i-keep-track-of-my-account-funds-and-reconcile-them,migration/output/en/custom/lsvr_kba/how-do-i-keep-track-of-my-account-funds-and-reconcile-them/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/account-funds-and-reconciliation/index.mdx,yes,Account/fund operation FAQ.
21,Funding Operation FAQs,4,How are funds from successful transactions settled?,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer,successful-transaction-settlement,2,how-are-funds-from-successful-transactions-settled,migration/output/en/custom/lsvr_kba/how-are-funds-from-successful-transactions-settled/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/successful-transaction-settlement/index.mdx,yes,Account/fund operation FAQ.
22,Funding Operation FAQs,5,What currencies can Oceanpayment settlement support?,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,supported-settlement-currencies,10,what-currencies-can-oceanpayment-settlement-support,migration/output/en/custom/lsvr_kba/what-currencies-can-oceanpayment-settlement-support/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/supported-settlement-currencies/index.mdx,yes,Matches migrated Chinese payment FAQ.
23,Funding Operation FAQs,6,OPASST Guideline,review,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer,opasst-guideline,,opasst-guideline,migration/output/en/custom/lsvr_kba/opasst-guideline/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/opasst-guideline/index.mdx,yes,Attachment-only guideline. Review whether it should become a page or remain linked from a richer account-transfer article.
24,Funding Operation FAQs,7,Guideline of OPCCOUNT,review,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer,opccount-platform-manual,,guideline-of-opccount,migration/output/en/custom/lsvr_kba/guideline-of-opccount/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/account-transfer/opccount-platform-manual/index.mdx,yes,Attachment-only guideline. Do not overwrite the retained OPCCOUNT platform manual without comparing versions.
25,Local Payments Acquiring FAQs,1,Klarna Dispute Lifecycle,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,klarna-dispute-lifecycle,11,klarna-dispute-lifecycle,migration/output/en/custom/lsvr_kba/klarna-dispute-lifecycle/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-dispute-lifecycle/index.mdx,yes,Matches migrated Chinese payment FAQ.
26,Local Payments Acquiring FAQs,2,Klarna Merchant Operations Guide,skip-review,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide,klarna-payment-operations-guide,,klarna-merchant-operations-guide,migration/output/en/custom/lsvr_kba/klarna-merchant-operations-guide/index.md,i18n/en/docusaurus-plugin-content-docs/current/odpm-guide/section-guide/klarna-payment-operations-guide/index.mdx,yes,Source is an ODPM Klarna operations attachment. Existing English ODPM section already has a Klarna operation guide.
27,Local Payments Acquiring FAQs,3,UK Regulatory Requirements for Advertising Klarna,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,uk-klarna-advertising-requirements,12,uk-regulatory-requirements-for-advertising-klarna,migration/output/en/custom/lsvr_kba/uk-regulatory-requirements-for-advertising-klarna/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx,yes,Matches migrated Chinese payment FAQ.
28,Local Payments Acquiring FAQs,4,Klarna Norway Newsletter Update,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,klarna-norway-market-update,13,klarna-norway-newsletter-update,migration/output/en/custom/lsvr_kba/klarna-norway-newsletter-update/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-norway-market-update/index.mdx,yes,Matches migrated Chinese payment FAQ.
29,Local Payments Acquiring FAQs,5,Klarna Dispute Resolution Guideline,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,klarna-dispute-improvement-guide,14,klarna-dispute-resolution-guideline,migration/output/en/custom/lsvr_kba/klarna-dispute-resolution-guideline/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-dispute-improvement-guide/index.mdx,yes,Matches migrated Chinese payment FAQ.
30,Local Payments Acquiring FAQs,6,Klarna’s APR Range Update for Consumers,review,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,klarna-apr-range-update-for-consumers,,klarnas-apr-range-update-for-consumers,migration/output/en/custom/lsvr_kba/klarnas-apr-range-update-for-consumers/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-apr-range-update-for-consumers/index.mdx,yes,"English screenshot includes it, but there is no confirmed Chinese base page yet. Confirm whether to add a Chinese/base doc too."
31,Local Payments Acquiring FAQs,7,Klarna Bill Sample on the Customer,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,klarna-consumer-bill-sample,16,klarna-bill-sample-on-the-customer,migration/output/en/custom/lsvr_kba/klarna-bill-sample-on-the-customer/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/klarna-consumer-bill-sample/index.mdx,yes,Matches migrated Chinese payment FAQ.
32,Local Payments Acquiring FAQs,8,iDEAL Operational Details For The Merchant Side,migrate,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions,ideal-merchant-operation-notes,17,ideal-operational-details-for-the-merchant-side,migration/output/en/custom/lsvr_kba/ideal-operational-details-for-the-merchant-side/index.md,i18n/en/docusaurus-plugin-content-docs/current/payment-faq/common-questions/ideal-merchant-operation-notes/index.mdx,yes,Matches migrated Chinese payment FAQ.
33,OP Card,1,Terms and Conditions,migrate,i18n/en/docusaurus-plugin-content-docs/current/op-card-faq/terms-conditions,terms-and-conditions,1,terms-and-conditions,migration/output/en/custom/lsvr_kba/terms-and-conditions/index.md,i18n/en/docusaurus-plugin-content-docs/current/op-card-faq/terms-conditions/terms-and-conditions/index.mdx,yes,OP Card terms page.
34,Products and Services,1,Oceanpayment Introduction of Prohibited Business,migrate,i18n/en/docusaurus-plugin-content-docs/current/compliance-certification/access-compliance,prohibited-and-restricted-businesses,1,oceanpayment-introduction-of-prohibited-business,migration/output/en/custom/lsvr_kba/oceanpayment-introduction-of-prohibited-business/index.md,i18n/en/docusaurus-plugin-content-docs/current/compliance-certification/access-compliance/prohibited-and-restricted-businesses/index.mdx,yes,"Compliance/access content, not product-service content."
35,Products and Services,2,What payment products does Oceanpayment offer?,migrate,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products,available-payment-products,2,what-payment-products-does-oceanpayment-offer,migration/output/en/custom/lsvr_kba/what-payment-products-does-oceanpayment-offer/index.md,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/available-payment-products/index.mdx,yes,Product/service introduction.
36,Products and Services,3,"Besides international credit cards, which countries' local payment products does Oceanpayment support?",review,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products,supported-local-payment-products,,besides-international-credit-cards-which-countries-local-payment-products-does-oceanpayment-support,migration/output/en/custom/lsvr_kba/besides-international-credit-cards-which-countries-local-payment-products-does-oceanpayment-support/index.md,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/supported-local-payment-products/index.mdx,yes,"English screenshot includes it, but the Chinese counterpart was excluded from this migration because it was not in the confirmed Chinese screenshots."
37,Products and Services,4,Does Oceanpayment support Mobile payment?,migrate,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products,support-mobile-payment,4,does-oceanpayment-support-mobile-payment,migration/output/en/custom/lsvr_kba/does-oceanpayment-support-mobile-payment/index.md,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/support-mobile-payment/index.mdx,yes,Product/service introduction.
38,Products and Services,5,Can Oceanpayment support Shopify or other website builders?,migrate,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products,support-shopify-or-other-platforms,5,can-oceanpayment-support-shopify-or-other-website-builders,migration/output/en/custom/lsvr_kba/can-oceanpayment-support-shopify-or-other-website-builders/index.md,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/support-shopify-or-other-platforms/index.mdx,yes,Product/service introduction.
39,Products and Services,6,"If I need to activate a new payment method, how do I get the product price to activate it?",migrate,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products,activate-new-payment-method-pricing,6,if-i-need-to-activate-a-new-payment-method-how-do-i-get-the-product-price-to-activate-it,migration/output/en/custom/lsvr_kba/if-i-need-to-activate-a-new-payment-method-how-do-i-get-the-product-price-to-activate-it/index.md,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/activate-new-payment-method-pricing/index.mdx,yes,Product/service introduction.
40,Products and Services,7,Do I need to re-apply when I change to a new domain for promotion?,review,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products,change-domain-reapply-channel,,do-i-need-to-re-apply-when-i-change-to-a-new-domain-for-promotion,migration/output/en/custom/lsvr_kba/do-i-need-to-re-apply-when-i-change-to-a-new-domain-for-promotion/index.md,i18n/en/docusaurus-plugin-content-docs/current/products-services/oceanpayment-products/change-domain-reapply-channel/index.mdx,yes,"English screenshot includes it, but the Chinese counterpart was excluded from this migration because it was not in the confirmed Chinese screenshots."
41,Products and Services,8,Oceanpayment complaints and suggestions contact information,migrate,i18n/en/docusaurus-plugin-content-docs/current/customer-service/customer-service-faq,oceanpayment-complaints-and-suggestions-contact,3,oceanpayment-complaints-and-suggestions-contact-information,migration/output/en/custom/lsvr_kba/oceanpayment-complaints-and-suggestions-contact-information/index.md,i18n/en/docusaurus-plugin-content-docs/current/customer-service/customer-service-faq/oceanpayment-complaints-and-suggestions-contact/index.mdx,yes,Customer service contact page.
